[2026-03-19T09:29:34.854+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904029.json to Snowflake stage
[2026-03-19T09:29:35.043+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904039.json to Snowflake stage
[2026-03-19T09:29:35.204+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904049.json to Snowflake stage
[2026-03-19T09:29:35.375+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904059.json to Snowflake stage
[2026-03-19T09:29:35.551+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904069.json to Snowflake stage
[2026-03-19T09:29:35.783+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904079.json to Snowflake stage
[2026-03-19T09:29:36.671+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904089.json to Snowflake stage
[2026-03-19T09:29:36.980+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904099.json to Snowflake stage
[2026-03-19T09:29:37.154+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904109.json to Snowflake stage
[2026-03-19T09:29:37.358+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904119.json to Snowflake stage
[2026-03-19T09:29:37.532+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1773904129.json to Snowflake stage
